Gene Locus,TA sites,reads,,,,
SAOUHSC_02000,101,2041,,,,
SAOUHSC_02001,108,1135,,,,
SAOUHSC_02002,6,35,,,,
SAOUHSC_02003,148,1523,,,,
SAOUHSC_02004,43,239,,,,
SAOUHSC_02005,82,2527,,,,
SAOUHSC_02006,81,1935,,,,
SAOUHSC_02008,98,1984,,,,
SAOUHSC_02009,158,2730,,,,
SAOUHSC_02010,31,813,,,,
SAOUHSC_02011-recX,70,305,,,,
SAOUHSC_02012-sgtB,79,699,,,,
SAOUHSC_02090,97,2693,,,,
SAOUHSC_02091,40,820,,,,
SAOUHSC_02092,107,2712,,,,
SAOUHSC_02093,17,1140,,,,
SAOUHSC_02095,40,1587,,,,
SAOUHSC_02096,21,655,,,,
SAOUHSC_02097,119,4467,,,,
SAOUHSC_02098-vraR,54,643,,,,
SAOUHSC_02099-vraS,86,928,,,,
SAOUHSC_02100,77,2002,,,,
SAOUHSC_02101,36,801,,,,
SAOUHSC_02103,90,1808,,,,
SAOUHSC_02104,40,968,,,,
SAOUHSC_02105,12,309,,,,
SAOUHSC_02108,34,773,,,,
SAOUHSC_02109,6,80,,,,
SAOUHSC_02110,45,1651,,,,
SAOUHSC_02111,87,689,,,,
SAOUHSC_02112,58,801,,,,
SAOUHSC_02113,116,2359,,,,
SAOUHSC_02115,21,759,,,,
SAOUHSC_02119,148,40346,,,,
SAOUHSC_02121,107,1892,,,,
SAOUHSC_02125,23,328,,,,
SAOUHSC_02126,94,195,,,,
SAOUHSC_02129,39,744,,,,
SAOUHSC_02130,8,90,,,,
SAOUHSC_02131,62,1821,,,,
SAOUHSC_02134,94,2780,,,,
SAOUHSC_02135,57,633,,,,
SAOUHSC_02136,8,148,,,,
SAOUHSC_02137,138,3248,,,,
SAOUHSC_02138,106,3712,,,,
SAOUHSC_02139,54,1158,,,,
SAOUHSC_02141,19,651,,,,
SAOUHSC_02142,113,1422,,,,
SAOUHSC_02144,38,976,,,,
SAOUHSC_02145,19,33,,,,
SAOUHSC_02146,86,2048,,,,
SAOUHSC_02147,88,2319,,,,
SAOUHSC_02148,50,711,,,,
SAOUHSC_02149,53,1253,,,,
SAOUHSC_02150,40,1768,,,,
SAOUHSC_02153,83,1107,,,,
SAOUHSC_02154,75,947,,,,
SAOUHSC_02155,24,29,,,,
SAOUHSC_02156,25,126,,,,
SAOUHSC_02157,7,102,,,,
SAOUHSC_02158,110,2383,,,,
SAOUHSC_02160,29,699,,,,
SAOUHSC_02161,181,3291,,,,
SAOUHSC_02164,17,178,,,,
SAOUHSC_02166,32,270,,,,
SAOUHSC_02167,34,406,,,,
SAOUHSC_02169,40,846,,,,
SAOUHSC_02170,37,1107,,,,
SAOUHSC_02171,41,743,,,,
SAOUHSC_02173,74,1459,,,,
SAOUHSC_02174,25,442,,,,
SAOUHSC_02175,14,217,,,,
SAOUHSC_02176,19,491,,,,
SAOUHSC_02177,23,322,,,,
SAOUHSC_02178,24,459,,,,
SAOUHSC_02179,14,928,,,,
SAOUHSC_02180,324,8409,,,,
SAOUHSC_02181,123,2574,,,,
SAOUHSC_02182,406,9952,,,,
SAOUHSC_02183,6,0,,,,
SAOUHSC_02184,31,270,,,,
SAOUHSC_02185,63,1393,,,,
SAOUHSC_02186,31,1387,,,,
SAOUHSC_02187,26,756,,,,
SAOUHSC_02188,29,642,,,,
SAOUHSC_02189,32,692,,,,
SAOUHSC_02190,12,361,,,,
SAOUHSC_02191,91,1426,,,,
SAOUHSC_02193,41,743,,,,
SAOUHSC_02194,100,2023,,,,
SAOUHSC_02195,18,138,,,,
SAOUHSC_02196,141,4748,,,,
SAOUHSC_02197,37,955,,,,
SAOUHSC_02198,22,119,,,,
SAOUHSC_02199,53,1559,,,,
SAOUHSC_02200,45,1798,,,,
SAOUHSC_02202,20,1160,,,,
SAOUHSC_02203,15,492,,,,
SAOUHSC_02204,16,272,,,,
SAOUHSC_02205,39,1676,,,,
SAOUHSC_02206,9,283,,,,
SAOUHSC_02207,19,491,,,,
SAOUHSC_02208,34,570,,,,
SAOUHSC_02209,33,659,,,,
SAOUHSC_02210,20,1233,,,,
SAOUHSC_02211,26,501,,,,
SAOUHSC_02212,19,756,,,,
SAOUHSC_02213,39,831,,,,
SAOUHSC_02214,17,166,,,,
SAOUHSC_02215,10,346,,,,
SAOUHSC_02216,63,1367,,,,
SAOUHSC_02217,73,2073,,,,
SAOUHSC_02218,22,717,,,,
SAOUHSC_02219,48,1090,,,,
SAOUHSC_02220,40,448,,,,
SAOUHSC_02221,61,926,,,,
SAOUHSC_02222,17,298,,,,
SAOUHSC_02223,27,1402,,,,
SAOUHSC_02224,19,608,,,,
SAOUHSC_02225,24,724,,,,
SAOUHSC_02226,57,756,,,,
SAOUHSC_02227,12,92,,,,
SAOUHSC_02228,20,498,,,,
SAOUHSC_02229,57,2280,,,,
SAOUHSC_02232,52,1600,,,,
SAOUHSC_02233,18,92,,,,
SAOUHSC_02234,22,60,,,,
SAOUHSC_02236,19,402,,,,
SAOUHSC_02237,9,13,,,,
SAOUHSC_02238,68,2619,,,,
SAOUHSC_02239,107,2197,,,,
SAOUHSC_02241,87,1143,,,,
SAOUHSC_02243,84,1987,,,,
SAOUHSC_02244,104,1871,,,,
SAOUHSC_02245,94,3035,,,,
SAOUHSC_02246,85,6107,,,,
SAOUHSC_02247,165,3067,,,,
SAOUHSC_02248,46,1598,,,,
SAOUHSC_02249,58,951,,,,
SAOUHSC_02250,59,1369,,,,
SAOUHSC_02251,24,356,,,,
SAOUHSC_02256,80,1467,,,,
SAOUHSC_02257,81,819,,,,
SAOUHSC_02258,38,444,,,,
SAOUHSC_02259,71,2079,,,,
SAOUHSC_02260,10,19,,,,
SAOUHSC_02261,70,2993,,,,
SAOUHSC_02262,15,356,,,,
SAOUHSC_02264,143,16644,,,,
SAOUHSC_02265,54,1379,,,,
SAOUHSC_02266,15,53,,,,
SAOUHSC_02267,78,1242,,,,
SAOUHSC_02268,136,2295,,,,
SAOUHSC_02269,78,1472,,,,
SAOUHSC_02270,124,3888,,,,
SAOUHSC_02271,11,58,,,,
SAOUHSC_02272,82,2207,,,,
SAOUHSC_02273,54,802,,,,
SAOUHSC_02274,160,4203,,,,
SAOUHSC_02275,10,95,,,,
SAOUHSC_02276,153,4040,,,,
SAOUHSC_02281,116,831,,,,
SAOUHSC_02282,139,1446,,,,
SAOUHSC_02283,23,118,,,,
SAOUHSC_02284,68,1931,,,,
SAOUHSC_02285,108,1703,,,,
SAOUHSC_02286,86,1105,,,,
SAOUHSC_02287,95,1546,,,,
SAOUHSC_02288-leuD,41,248,,,,
SAOUHSC_02289,120,1505,,,,
SAOUHSC_02294,10,169,,,,
SAOUHSC_02296,36,659,,,,
SAOUHSC_02297,173,4116,,,,
SAOUHSC_02298,62,2370,,,,
SAOUHSC_02299,44,3351,,,,
SAOUHSC_02300,33,1255,,,,
SAOUHSC_02301,84,4540,,,,
SAOUHSC_02303,35,848,,,,
SAOUHSC_02304,12,129,,,,
SAOUHSC_02305-alr1,98,3583,,,,
SAOUHSC_02308,142,4194,,,,
SAOUHSC_02309,55,1307,,,,
SAOUHSC_02310,44,362,,,,
SAOUHSC_02311,164,4095,,,,
SAOUHSC_02312,161,3368,,,,
SAOUHSC_02313,12,32,,,,
SAOUHSC_02314,248,6067,,,,
SAOUHSC_02315,58,878,,,,
SAOUHSC_02319-rodA,127,3009,,,,
SAOUHSC_02320,14,368,,,,
SAOUHSC_02321,17,684,,,,
SAOUHSC_02322,19,370,,,,
SAOUHSC_02323,116,1852,,,,
SAOUHSC_02324,51,2941,,,,
SAOUHSC_02325,5,88,,,,
SAOUHSC_02326,6,47,,,,
SAOUHSC_02328-thiE,51,535,,,,
SAOUHSC_02329,72,1369,,,,
SAOUHSC_02330,69,1387,,,,
SAOUHSC_02331,61,1258,,,,
SAOUHSC_02332,11,25,,,,
SAOUHSC_02333,40,535,,,,
SAOUHSC_02334,34,375,,,,
SAOUHSC_02335,42,722,,,,
SAOUHSC_02338,29,1311,,,,
SAOUHSC_02339,8,11,,,,
SAOUHSC_02340-F-type,23,36,,,,
SAOUHSC_02345-F-type,118,200,,,,
SAOUHSC_02346-F-type,53,207,,,,
SAOUHSC_02347-F-type,32,204,,,,
SAOUHSC_02349-F-type,15,18,,,,
SAOUHSC_02350-F-type,59,344,,,,
SAOUHSC_02351,52,475,,,,
SAOUHSC_02352,84,2018,,,,
SAOUHSC_02353-upp,58,770,,,,
SAOUHSC_02354-glyA,87,999,,,,
SAOUHSC_02355,39,2097,,,,
SAOUHSC_02356,31,1761,,,,
SAOUHSC_02358,62,811,,,,
SAOUHSC_02363,112,2457,,,,
SAOUHSC_02364,123,1672,,,,
SAOUHSC_02365,24,56,,,,
SAOUHSC_02367,118,2965,,,,
SAOUHSC_02370,48,1158,,,,
SAOUHSC_02372,67,1819,,,,
SAOUHSC_02373,59,787,,,,
SAOUHSC_02374,97,2241,,,,
SAOUHSC_02375,88,5245,,,,
SAOUHSC_02376,36,989,,,,
SAOUHSC_02377,38,1546,,,,
SAOUHSC_02378,99,1504,,,,
SAOUHSC_02379,9,27,,,,
SAOUHSC_02380-deoD,35,343,,,,
SAOUHSC_02381,67,1482,,,,
SAOUHSC_02382,36,1791,,,,
SAOUHSC_02383,40,2280,,,,
SAOUHSC_02384,125,1707,,,,
SAOUHSC_02385,25,692,,,,
SAOUHSC_02386,70,1730,,,,
SAOUHSC_02387,12,46,,,,
SAOUHSC_02388,50,1991,,,,
SAOUHSC_02389,22,330,,,,
SAOUHSC_02390,86,2080,,,,
SAOUHSC_02391,108,1059,,,,
SAOUHSC_02393,11,22,,,,
SAOUHSC_02394,130,6554,,,,
SAOUHSC_02396,12,497,,,,
SAOUHSC_02397,62,991,,,,
SAOUHSC_02400,57,1109,,,,
SAOUHSC_02401,126,1455,,,,
SAOUHSC_02402,173,4097,,,,
SAOUHSC_02403,30,90,,,,
SAOUHSC_02404,103,2594,,,,
SAOUHSC_02406,508,6239,,,,
SAOUHSC_02409,76,229,,,,
SAOUHSC_02410,79,534,,,,
SAOUHSC_02411,139,1740,,,,
SAOUHSC_02412,8,214,,,,
SAOUHSC_02416,5,40,,,,
SAOUHSC_02417,13,91,,,,
SAOUHSC_02418,88,763,,,,
SAOUHSC_02419,156,4081,,,,
SAOUHSC_02420,57,1562,,,,
SAOUHSC_02422,140,3881,,,,
SAOUHSC_02423,75,2063,,,,
SAOUHSC_02424,102,1589,,,,
SAOUHSC_02425,50,2123,,,,
SAOUHSC_02426,24,80,,,,
SAOUHSC_02427,103,3723,,,,
SAOUHSC_02428,103,2676,,,,
SAOUHSC_02430,102,2199,,,,
SAOUHSC_02432,89,1052,,,,
SAOUHSC_02433,11,78,,,,
SAOUHSC_02434,101,2728,,,,
SAOUHSC_02435,152,2182,,,,
SAOUHSC_02436,125,2121,,,,
SAOUHSC_02437,166,5364,,,,
SAOUHSC_02441,129,1783,,,,
SAOUHSC_02442,33,513,,,,
SAOUHSC_02443,24,100,,,,
SAOUHSC_02444,53,1755,,,,
SAOUHSC_02445,135,2194,,,,
SAOUHSC_02447,88,1741,,,,
SAOUHSC_02448,72,1931,,,,
SAOUHSC_02449,70,1585,,,,
SAOUHSC_02450,115,3970,,,,
SAOUHSC_02451,143,2031,,,,
SAOUHSC_02452,17,48,,,,
SAOUHSC_02453,70,1941,,,,
SAOUHSC_02454,66,1549,,,,
SAOUHSC_02455,42,658,,,,
SAOUHSC_02456,29,360,,,,
SAOUHSC_02457,56,420,,,,
SAOUHSC_02458,57,3251,,,,
SAOUHSC_02459,79,4207,,,,
SAOUHSC_02460,18,840,,,,
SAOUHSC_02461,65,1673,,,,
SAOUHSC_02463,37,567,,,,
SAOUHSC_02464,188,2700,,,,
SAOUHSC_02465,80,1361,,,,
SAOUHSC_02467,72,1397,,,,
SAOUHSC_02468,54,872,,,,
SAOUHSC_02469,135,1964,,,,
SAOUHSC_02470,18,561,,,,
SAOUHSC_02471,21,272,,,,
SAOUHSC_02473,170,3422,,,,
SAOUHSC_02474,7,92,,,,
SAOUHSC_02475,63,1161,,,,
SAOUHSC_02476,37,675,,,,
SAOUHSC_02481-cbiQ,119,3008,,,,
SAOUHSC_02483-cbiO,71,168,,,,
SAOUHSC_02515,63,87,,,,
SAOUHSC_02516,49,1756,,,,
SAOUHSC_02517,112,1326,,,,
SAOUHSC_02518,180,2357,,,,
SAOUHSC_02519,8,221,,,,
SAOUHSC_02520,76,1682,,,,
SAOUHSC_02521,73,1119,,,,
SAOUHSC_02522,14,116,,,,
SAOUHSC_02523,92,3709,,,,
SAOUHSC_02525,11,188,,,,
SAOUHSC_02528,267,4548,,,,
SAOUHSC_02529,29,844,,,,
SAOUHSC_02530,63,2234,,,,
SAOUHSC_02531,39,3503,,,,
SAOUHSC_02532,126,3411,,,,
SAOUHSC_02533,33,968,,,,
SAOUHSC_02534,17,37,,,,
SAOUHSC_02535,4,60,,,,
SAOUHSC_02536,6,61,,,,
SAOUHSC_02537-mobA,87,1952,,,,
SAOUHSC_02538,52,1669,,,,
SAOUHSC_02540,18,148,,,,
SAOUHSC_02541,28,618,,,,
SAOUHSC_02542,39,214,,,,
SAOUHSC_02543-moaC,100,1286,,,,
SAOUHSC_02544,30,473,,,,
SAOUHSC_02545,38,379,,,,
SAOUHSC_02546,82,1009,,,,
SAOUHSC_02547,49,881,,,,
SAOUHSC_02549,70,1184,,,,
SAOUHSC_02550,79,2929,,,,
SAOUHSC_02551,64,1340,,,,
SAOUHSC_02552,63,2080,,,,
SAOUHSC_02553,56,1014,,,,
SAOUHSC_02554,74,1001,,,,
SAOUHSC_02555,74,2170,,,,
SAOUHSC_02557,102,1993,,,,
SAOUHSC_02558-ureA,95,2045,,,,
SAOUHSC_02559-ureB,20,45,,,,
SAOUHSC_02561-ureC,23,182,,,,
SAOUHSC_02562-rho,141,5339,,,,
SAOUHSC_02562-ureE,37,576,,,,
SAOUHSC_02563,51,937,,,,
SAOUHSC_02564,52,5499,,,,
SAOUHSC_02565,80,1490,,,,
SAOUHSC_02566,30,1623,,,,
SAOUHSC_02568,32,591,,,,
SAOUHSC_02569,76,3969,,,,
SAOUHSC_02570,210,5820,,,,
SAOUHSC_02571,77,1388,,,,
SAOUHSC_02572,18,181,,,,
SAOUHSC_02573,126,2526,,,,
SAOUHSC_02574,93,2554,,,,
SAOUHSC_02575,49,1622,,,,
SAOUHSC_02576,41,1546,,,,
SAOUHSC_02577,81,1087,,,,
SAOUHSC_02579,105,2027,,,,
SAOUHSC_02580,49,1279,,,,
SAOUHSC_02581,51,3141,,,,
SAOUHSC_02582,239,4129,,,,
SAOUHSC_02583-lcpC,74,885,,,,
SAOUHSC_02584,73,1682,,,,
SAOUHSC_02585,60,3446,,,,
SAOUHSC_02587,78,1632,,,,
SAOUHSC_02588,40,1530,,,,
SAOUHSC_02589,91,1370,,,,
SAOUHSC_02590,122,2143,,,,
SAOUHSC_02591,33,228,,,,
SAOUHSC_02592,25,949,,,,
SAOUHSC_02593,18,317,,,,
SAOUHSC_02594,60,1342,,,,
SAOUHSC_02595,93,2609,,,,
SAOUHSC_02596,51,1709,,,,
SAOUHSC_02597,149,2004,,,,
SAOUHSC_02599,78,4383,,,,
SAOUHSC_02600,36,392,,,,
SAOUHSC_02603,68,2461,,,,
SAOUHSC_02604,57,1056,,,,
SAOUHSC_02605,83,2028,,,,
SAOUHSC_02606,99,548,,,,
SAOUHSC_02607,103,2446,,,,
SAOUHSC_02608,78,1827,,,,
SAOUHSC_02609,46,1168,,,,
SAOUHSC_02610,67,530,,,,
SAOUHSC_02611-lyrA,95,939,,,,
SAOUHSC_02613,55,768,,,,
SAOUHSC_02614,85,4960,,,,
SAOUHSC_02615,29,658,,,,
SAOUHSC_02616,19,145,,,,
SAOUHSC_02618,112,2329,,,,
SAOUHSC_02619,70,2028,,,,
SAOUHSC_02620,73,1407,,,,
SAOUHSC_02621,57,2649,,,,
SAOUHSC_02622,116,2978,,,,
SAOUHSC_02624,107,841,,,,
SAOUHSC_02625,46,1614,,,,
SAOUHSC_02626,37,1011,,,,
SAOUHSC_02627,69,1027,,,,
SAOUHSC_02628,62,475,,,,
SAOUHSC_02629,188,5109,,,,
SAOUHSC_02630,52,1316,,,,
SAOUHSC_02631,59,1957,,,,
SAOUHSC_02632,119,2491,,,,
SAOUHSC_02634,12,285,,,,
SAOUHSC_02635,130,2321,,,,
SAOUHSC_02636,48,941,,,,
SAOUHSC_02638,104,3253,,,,
SAOUHSC_02640,41,530,,,,
SAOUHSC_02641,103,1303,,,,
SAOUHSC_02643,64,951,,,,
SAOUHSC_02644,118,972,,,,
SAOUHSC_02645,48,2009,,,,
SAOUHSC_02646,44,897,,,,
SAOUHSC_02647,110,790,,,,
SAOUHSC_02648,140,1349,,,,
SAOUHSC_02649,158,3027,,,,
SAOUHSC_02650,59,989,,,,
SAOUHSC_02651,39,485,,,,
SAOUHSC_02652,73,828,,,,
SAOUHSC_02653,34,1514,,,,
SAOUHSC_02654,80,3749,,,,
SAOUHSC_02655,18,1459,,,,
SAOUHSC_02656,49,1988,,,,
SAOUHSC_02657,9,314,,,,
SAOUHSC_02658,107,1491,,,,
SAOUHSC_02659,62,1185,,,,
SAOUHSC_02660,106,2771,,,,
SAOUHSC_02661,108,2914,,,,
SAOUHSC_02662,17,114,,,,
SAOUHSC_02663,31,539,,,,
SAOUHSC_02664,211,3299,,,,
SAOUHSC_02665,41,961,,,,
SAOUHSC_02666,32,1942,,,,
SAOUHSC_02667,127,2210,,,,
SAOUHSC_02668,35,470,,,,
SAOUHSC_02669,34,970,,,,
SAOUHSC_02670,43,1584,,,,
SAOUHSC_02671,117,1490,,,,
SAOUHSC_02672,93,1643,,,,
SAOUHSC_02674,77,676,,,,
SAOUHSC_02675,51,1051,,,,
SAOUHSC_02676,79,2477,,,,
SAOUHSC_02677,39,140,,,,
SAOUHSC_02678,73,1894,,,,
SAOUHSC_02679,45,3121,,,,
SAOUHSC_02680,111,2204,,,,
SAOUHSC_02681,254,4705,,,,
SAOUHSC_02682,81,1084,,,,
SAOUHSC_02683,21,713,,,,
SAOUHSC_02684,185,4090,,,,
SAOUHSC_02685,57,852,,,,
SAOUHSC_02686,43,1220,,,,
SAOUHSC_02687,73,1324,,,,
SAOUHSC_02688,25,752,,,,
SAOUHSC_02689,30,407,,,,
SAOUHSC_02690,128,1522,,,,
SAOUHSC_02691,29,1486,,,,
SAOUHSC_02692,24,987,,,,
SAOUHSC_02693,11,115,,,,
SAOUHSC_02694,54,763,,,,
SAOUHSC_02695,35,468,,,,
SAOUHSC_02696,107,2740,,,,
SAOUHSC_02697,46,1336,,,,
SAOUHSC_02698,76,2924,,,,
SAOUHSC_02699,64,1480,,,,
SAOUHSC_02700,113,2194,,,,
SAOUHSC_02701,13,114,,,,
SAOUHSC_02702,11,105,,,,
SAOUHSC_02703-gpmA,56,632,,,,
SAOUHSC_02704,75,2325,,,,
SAOUHSC_02705,15,459,,,,
SAOUHSC_02706,103,4128,,,,
SAOUHSC_02708,79,1218,,,,
SAOUHSC_02710,89,1628,,,,
SAOUHSC_02711,61,1228,,,,
SAOUHSC_02712,58,1399,,,,
SAOUHSC_02713,123,3585,,,,
SAOUHSC_02714,91,1778,,,,
SAOUHSC_02715,111,1677,,,,
SAOUHSC_02716,59,527,,,,
SAOUHSC_02717,16,409,,,,
SAOUHSC_02718,160,4383,,,,
SAOUHSC_02719,173,2822,,,,
SAOUHSC_02720,12,243,,,,
SAOUHSC_02721,7,7,,,,
SAOUHSC_02722,43,1317,,,,
SAOUHSC_02723,89,761,,,,
SAOUHSC_02724,52,941,,,,
SAOUHSC_02725,106,2579,,,,
SAOUHSC_02726,45,3909,,,,
SAOUHSC_02727,51,1767,,,,
SAOUHSC_02728,72,2469,,,,
SAOUHSC_02729,126,3343,,,,
SAOUHSC_02731,187,2313,,,,
SAOUHSC_02732,10,253,,,,
SAOUHSC_02733,179,3165,,,,
SAOUHSC_02734,17,521,,,,
SAOUHSC_02736,135,6099,,,,
SAOUHSC_02737,63,1175,,,,
SAOUHSC_02739,74,1727,,,,
SAOUHSC_02740,141,4147,,,,
SAOUHSC_02741,58,1683,,,,
SAOUHSC_02742,78,1574,,,,
SAOUHSC_02743,58,1661,,,,
SAOUHSC_02744,99,2663,,,,
SAOUHSC_02745,8,34,,,,
SAOUHSC_02746,7,575,,,,
SAOUHSC_02747,53,4079,,,,
SAOUHSC_02750,140,3705,,,,
SAOUHSC_02751,111,1864,,,,
SAOUHSC_02752,102,1832,,,,
SAOUHSC_02753,71,885,,,,
SAOUHSC_02754,59,1640,,,,
SAOUHSC_02755,81,946,,,,
SAOUHSC_02756,26,1427,,,,
SAOUHSC_02757,30,398,,,,
SAOUHSC_02759,44,2624,,,,
SAOUHSC_02760,132,2712,,,,
SAOUHSC_02761,82,3294,,,,
SAOUHSC_02762,115,3210,,,,
SAOUHSC_02763,56,2193,,,,
SAOUHSC_02764,58,2039,,,,
SAOUHSC_02765,77,2559,,,,
SAOUHSC_02766,89,3160,,,,
SAOUHSC_02767,110,1481,,,,
SAOUHSC_02768,76,1136,,,,
SAOUHSC_02769,72,1515,,,,
SAOUHSC_02770,60,2137,,,,
SAOUHSC_02771,41,700,,,,
SAOUHSC_02772,48,726,,,,
SAOUHSC_02773,147,4294,,,,
SAOUHSC_02774,32,238,,,,
SAOUHSC_02775,36,2143,,,,
SAOUHSC_02776,43,1677,,,,
SAOUHSC_02777,42,2153,,,,
SAOUHSC_02778,57,1915,,,,
SAOUHSC_02779,21,449,,,,
SAOUHSC_02780,19,1896,,,,
SAOUHSC_02781,17,568,,,,
SAOUHSC_02782,13,584,,,,
SAOUHSC_02783,73,1165,,,,
SAOUHSC_02784,18,333,,,,
SAOUHSC_02785,24,1073,,,,
SAOUHSC_02786,111,2246,,,,
SAOUHSC_02788,67,1273,,,,
SAOUHSC_02789,63,1395,,,,
SAOUHSC_02790,299,10655,,,,
SAOUHSC_02791,31,386,,,,
SAOUHSC_02794,26,1120,,,,
SAOUHSC_02795,40,1066,,,,
SAOUHSC_02796,36,1745,,,,
SAOUHSC_02797,134,4672,,,,
SAOUHSC_02798,295,4060,,,,
SAOUHSC_02799,45,2426,,,,
SAOUHSC_02800,84,2169,,,,
SAOUHSC_02802,209,4763,,,,
SAOUHSC_02803,228,3825,,,,
SAOUHSC_02804,11,179,,,,
SAOUHSC_02805,33,101,,,,
SAOUHSC_02806,118,2708,,,,
SAOUHSC_02808,109,4400,,,,
SAOUHSC_02809,34,965,,,,
SAOUHSC_02810,66,1675,,,,
SAOUHSC_02811,69,1519,,,,
SAOUHSC_02812,20,13,,,,
SAOUHSC_02813,187,6989,,,,
SAOUHSC_02815,112,2477,,,,
SAOUHSC_02816,67,1995,,,,
SAOUHSC_02817,7,78,,,,
SAOUHSC_02818,142,5243,,,,
SAOUHSC_02819,48,2854,,,,
SAOUHSC_02820,58,925,,,,
SAOUHSC_02821,83,1265,,,,
SAOUHSC_02822,157,613,,,,
SAOUHSC_02823,82,2730,,,,
SAOUHSC_02824,35,716,,,,
SAOUHSC_02825,69,1537,,,,
SAOUHSC_02826,35,1071,,,,
SAOUHSC_02827,19,1821,,,,
SAOUHSC_02828,60,1318,,,,
SAOUHSC_02829,41,3208,,,,
SAOUHSC_02830,88,1558,,,,
SAOUHSC_02831,71,2318,,,,
SAOUHSC_02832,64,2285,,,,
SAOUHSC_02833,94,3798,,,,
SAOUHSC_02834,53,1318,,,,
SAOUHSC_02836,43,2128,,,,
SAOUHSC_02837,17,336,,,,
SAOUHSC_02838,8,30,,,,
SAOUHSC_02839,51,490,,,,
SAOUHSC_02840,61,937,,,,
SAOUHSC_02841,90,1756,,,,
SAOUHSC_02842,18,235,,,,
SAOUHSC_02843,93,1066,,,,
SAOUHSC_02844,75,897,,,,
SAOUHSC_02845,23,36,,,,
SAOUHSC_02846,29,374,,,,
SAOUHSC_02848,165,3628,,,,
SAOUHSC_02849,156,6848,,,,
SAOUHSC_02850,65,1394,,,,
SAOUHSC_02851,42,683,,,,
SAOUHSC_02852,67,2270,,,,
SAOUHSC_02853,14,73,,,,
SAOUHSC_02855,39,1316,,,,
SAOUHSC_02856,9,20,,,,
SAOUHSC_02857,18,761,,,,
SAOUHSC_02858,31,2510,,,,
SAOUHSC_02861,39,427,,,,
SAOUHSC_02862,147,2549,,,,
SAOUHSC_02863,12,266,,,,
SAOUHSC_02864,187,7783,,,,
SAOUHSC_02865,24,426,,,,
SAOUHSC_02866,221,6114,,,,
SAOUHSC_02867,49,1164,,,,
SAOUHSC_02868,18,1124,,,,
SAOUHSC_02869,105,1065,,,,
SAOUHSC_02871,43,779,,,,
SAOUHSC_02872,14,31,,,,
SAOUHSC_02873,198,3649,,,,
SAOUHSC_02874,11,658,,,,
SAOUHSC_02875,83,3082,,,,
SAOUHSC_02876,82,2647,,,,
SAOUHSC_02877,130,3620,,,,
SAOUHSC_02879,71,3510,,,,
SAOUHSC_02880,86,1117,,,,
SAOUHSC_02881,129,3499,,,,
SAOUHSC_02882,50,1424,,,,
SAOUHSC_02883,68,2943,,,,
SAOUHSC_02885,171,3499,,,,
SAOUHSC_02886,58,1278,,,,
SAOUHSC_02887,41,103,,,,
SAOUHSC_02888,95,1344,,,,
SAOUHSC_02889,15,219,,,,
SAOUHSC_02890,10,352,,,,
SAOUHSC_02891,45,1525,,,,
SAOUHSC_02892,51,2914,,,,
SAOUHSC_02893,17,161,,,,
SAOUHSC_02894,22,653,,,,
SAOUHSC_02895,73,2252,,,,
SAOUHSC_02896,22,1149,,,,
SAOUHSC_02897,53,1515,,,,
SAOUHSC_02898,52,1450,,,,
SAOUHSC_02899,73,3910,,,,
SAOUHSC_02900,56,546,,,,
SAOUHSC_02901,69,1267,,,,
SAOUHSC_02902,121,3699,,,,
SAOUHSC_02904,94,1941,,,,
SAOUHSC_02905,28,2123,,,,
SAOUHSC_02906,22,1374,,,,
SAOUHSC_02907,22,358,,,,
SAOUHSC_02908,67,1543,,,,
SAOUHSC_02910,15,783,,,,
SAOUHSC_02911,54,2955,,,,
SAOUHSC_02912,31,386,,,,
SAOUHSC_02913,52,2918,,,,
SAOUHSC_02914,6,189,,,,
SAOUHSC_02915,118,1829,,,,
SAOUHSC_02916,31,1358,,,,
SAOUHSC_02918-panC,70,2791,,,,
SAOUHSC_02919-panB,59,1872,,,,
SAOUHSC_02920,69,4045,,,,
SAOUHSC_02921,52,1435,,,,
SAOUHSC_02922,77,1662,,,,
SAOUHSC_02923,134,3396,,,,
SAOUHSC_02924,104,4218,,,,
SAOUHSC_02925,46,1856,,,,
SAOUHSC_02926,66,630,,,,
SAOUHSC_02927,106,2233,,,,
SAOUHSC_02928,41,1123,,,,
SAOUHSC_02929,135,7050,,,,
SAOUHSC_02930,42,930,,,,
SAOUHSC_02931,17,1374,,,,
SAOUHSC_02932,120,2649,,,,
SAOUHSC_02933,102,1718,,,,
SAOUHSC_02934,8,14,,,,
SAOUHSC_02935,30,886,,,,
SAOUHSC_02936,61,1119,,,,
SAOUHSC_02937,141,5101,,,,
SAOUHSC_02939,26,227,,,,
SAOUHSC_02940,10,98,,,,
SAOUHSC_02941,52,1392,,,,
SAOUHSC_02942,152,5569,,,,
SAOUHSC_02943,122,6043,,,,
SAOUHSC_02944,12,106,,,,
SAOUHSC_02945,45,811,,,,
SAOUHSC_02947,150,4206,,,,
SAOUHSC_02948,13,89,,,,
SAOUHSC_02949,44,2416,,,,
SAOUHSC_02950,14,183,,,,
SAOUHSC_02953,205,4272,,,,
SAOUHSC_02954,57,1260,,,,
SAOUHSC_02955-nsaS,91,1612,,,,
SAOUHSC_02956-nsaR,61,1608,,,,
SAOUHSC_02957,17,247,,,,
SAOUHSC_02958,107,1437,,,,
