#Gumbel
#Console: python /galaxy/home/delphinel/miniconda3/envs/tnseq/bin/transit gumbel bedgraphs_no_mismatch/joined/blunt_SRR6289492_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289493_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289494_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289495_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289496_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289497_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289498_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289499_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289500_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289501_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289502_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289503_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289504_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289505_both.tab NCTC8325.prot_table transit_no_mismatch/mean_all_blunt.tab -s 20000 -b 1000 -r Mean --no-norm
#Data: bedgraphs_no_mismatch/joined/blunt_SRR6289492_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289493_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289494_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289495_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289496_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289497_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289498_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289499_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289500_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289501_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289502_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289503_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289504_both.tab,bedgraphs_no_mismatch/joined/blunt_SRR6289505_both.tab
#Annotation path: NCTC8325.prot_table
#FDR Corrected thresholds: 0.993300, 0.045050
#MH Acceptance-Rate:	37.77%
#Total Iterations Performed:	20999
#Sample Size:	20000
#phi estimate:	0.249516
#Time: 804.361941099
#Orf	Name	Desc	k	n	r	s	zbar	Call
SAOUHSC_01612	SAOUHSC_01612	2-oxoisovalerate dehydrogenase%2C E1 component%2C beta subunit%2C putative	28	85	10	102	0.000250	NE
SAOUHSC_01613	SAOUHSC_01613	2-oxoisovalerate dehydrogenase%2C E1 component%2C alpha subunit%2C putative	25	77	11	237	0.289400	U
SAOUHSC_01614	SAOUHSC_01614	dihydrolipoamide dehydrogenase	63	116	6	84	0.000000	NE
SAOUHSC_01615	SAOUHSC_01615	DNA repair protein RecN	104	149	7	80	0.000000	NE
SAOUHSC_01617	SAOUHSC_01617	regulates arginine biosynthesis when complexed with arginine by binding at site that overlap the promotors of the arginine biosynthesis genes	30	45	4	22	0.000000	NE
SAOUHSC_01618	SAOUHSC_01618	geranyltranstransferase%2C putative	44	84	5	48	0.000000	NE
SAOUHSC_01619	SAOUHSC_01619	catalyzes the bidirectional exonucleolytic cleavage of DNA	12	17	2	14	0.000000	NE
SAOUHSC_01620	xseA	bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides	87	117	4	45	0.000000	NE
SAOUHSC_01621	nusB	Regulates rRNA biosynthesis by transcriptional antitermination	19	39	6	67	0.000000	NE
SAOUHSC_01622	SAOUHSC_01622	conserved hypothetical protein	24	36	5	38	0.000000	NE
SAOUHSC_01623	SAOUHSC_01623	an AccC homodimer forms the biotin carboxylase subunit of the acetyl CoA carboxylase%2C an enzyme that catalyzes the formation of malonyl-CoA%2C which in turn controls the rate of fatty acid metabolism	1	107	106	1335	0.999950	E
SAOUHSC_01624	SAOUHSC_01624	acetyl-CoA carboxylase%2C biotin carboxyl carrier protein	0	30	30	456	1.000000	E
SAOUHSC_01625	SAOUHSC_01625	Involved in peptide bond synthesis%3B alters the affinity of the ribosome for aminoacyl-tRNA	13	45	8	137	0.000050	NE
SAOUHSC_01626	SAOUHSC_01626	proline dipeptidase%2C putative	86	108	2	12	0.000000	NE
SAOUHSC_01627	SAOUHSC_01627	conserved hypothetical protein	32	49	4	23	0.000000	NE
SAOUHSC_01628	SAOUHSC_01628	conserved hypothetical protein	20	26	2	25	0.000000	NE
SAOUHSC_01629	SAOUHSC_01629	conserved hypothetical protein	42	66	4	39	0.000000	NE
SAOUHSC_01630	SAOUHSC_01630	conserved hypothetical protein	31	39	2	22	0.000000	NE
SAOUHSC_01632	SAOUHSC_01632	acts in conjunction with GvcH to form H-protein-S-aminomethyldihydrolipoyllysine from glycine%3B forms a heterodimer with subunit 1 to form the P protein	93	132	6	51	0.000000	NE
SAOUHSC_01633	SAOUHSC_01633	acts in conjunction with GvcH to form H-protein-S-aminomethyldihydrolipoyllysine from glycine%3B forms a heterodimer with subunit 2 to form the P protein	92	113	2	11	0.000000	NE
SAOUHSC_01634	gcvT	catalyzes the transfer of a methylene carbon from the methylamine-loaded GcvH protein to tetrahydrofolate%2C causing the release of ammonia and the generation of reduced GcvH protein	65	94	2	25	0.000000	NE
SAOUHSC_01635	SAOUHSC_01635	shikimate kinase%2C putative	20	56	10	103	0.000250	NE
SAOUHSC_01636	SAOUHSC_01636	-	15	18	1	2	-1.000000	S
SAOUHSC_01637	SAOUHSC_01637	conserved hypothetical protein	47	63	5	39	0.000000	NE
SAOUHSC_01638	SAOUHSC_01638	conserved hypothetical protein	31	37	3	11	0.000000	NE
SAOUHSC_01639	SAOUHSC_01639	conserved hypothetical protein	37	53	4	23	0.000000	NE
SAOUHSC_01640	SAOUHSC_01640	conserved hypothetical protein	20	30	2	8	0.000000	NE
SAOUHSC_01641	SAOUHSC_01641	conserved hypothetical protein	93	122	4	24	0.000000	NE
SAOUHSC_01643	SAOUHSC_01643	conserved hypothetical protein	74	95	3	33	0.000000	NE
SAOUHSC_01644	SAOUHSC_01644	conserved hypothetical protein	44	61	3	13	0.000000	NE
SAOUHSC_01645	SAOUHSC_01645	conserved hypothetical protein	27	31	1	2	0.000000	NE
SAOUHSC_01646	SAOUHSC_01646	glucokinase%2C putative	67	93	3	59	0.000000	NE
SAOUHSC_01647	SAOUHSC_01647	conserved hypothetical protein	15	20	2	12	0.000000	NE
SAOUHSC_01650	SAOUHSC_01650	conserved hypothetical protein	34	49	4	52	0.000000	NE
SAOUHSC_01651	rpmG	in Escherichia coli BM108%2C a mutation that results in lack of L33 synthesis had no effect on ribosome synthesis or function%3B there are paralogous genes in several bacterial genomes%2C and a CXXC motif for zinc binding and an upstream regulation region of the paralog lacking this motif that are regulated by zinc similar to other ribosomal proteins like L31%3B the proteins in this group lack the CXXC motif	8	9	1	2	-1.000000	S
SAOUHSC_01652	SAOUHSC_01652	penicillin-binding protein 3	145	187	3	25	0.000000	NE
SAOUHSC_01653	SAOUHSC_01653	superoxide dismutase%2C Mn%2C putative	31	52	6	107	0.000000	NE
SAOUHSC_01655	SAOUHSC_01655	conserved hypothetical protein	38	44	2	10	0.000000	NE
SAOUHSC_01656	SAOUHSC_01656	conserved hypothetical protein	81	99	2	12	0.000000	NE
SAOUHSC_01657	SAOUHSC_01657	ABC transporter%2C putative	54	70	3	26	0.000000	NE
SAOUHSC_01658	SAOUHSC_01658	Assists in DNA repair by cleaving phosphodiester bonds at apurinic or apyrimidinic sties to produce new 5' ends that are base-free deoxyribose 5-phosphate residues	63	76	2	50	0.000000	NE
SAOUHSC_01659	SAOUHSC_01659	conserved hypothetical protein	52	125	7	99	0.000000	NE
SAOUHSC_01660	SAOUHSC_01660	conserved hypothetical protein	78	109	4	64	0.000000	NE
SAOUHSC_01661	SAOUHSC_01661	conserved hypothetical protein	2	57	46	485	1.000000	E
SAOUHSC_01662	SAOUHSC_01662	sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released%3B primary sigma factor of bacterium	2	81	44	633	0.999850	E
SAOUHSC_01663	SAOUHSC_01663	DNA primase%2C putative	3	152	56	666	0.999950	E
SAOUHSC_01664	SAOUHSC_01664	conserved hypothetical protein	43	73	3	21	0.000000	NE
SAOUHSC_01665	SAOUHSC_01665	CBS domain protein	40	55	3	50	0.000000	NE
SAOUHSC_01666	SAOUHSC_01666	Catalyzes a two-step reaction%2C first charging a glycine molecule by linking its carboxyl group to the alpha-phosphate of ATP%2C followed by transfer of the aminoacyl-adenylate to its tRNA	3	103	73	1009	0.996450	E
SAOUHSC_01667	SAOUHSC_01667	conserved hypothetical protein	16	71	15	130	0.198350	U
SAOUHSC_01668	era	Era%3B Escherichia coli Ras-like protein%3B Bex%3B Bacillus Era-complementing segment%3B essential protein in Escherichia coli that is involved in many cellular processes%3B GTPase%3B binds the cell membrane through apparent C-terminal domain%3B mutants are arrested during the cell cycle%3B Streptococcus pneumoniae Era binds to RNA and Escherichia coli Era binds 16S rRNA and 30S ribosome	6	78	27	251	0.998150	E
SAOUHSC_01670	SAOUHSC_01670	cytidine deaminase	18	34	4	19	0.000000	NE
SAOUHSC_01671	SAOUHSC_01671	diacylglycerol kinase%2C putative	29	43	2	4	0.000000	NE
SAOUHSC_01672	SAOUHSC_01672	conserved hypothetical protein	1	46	45	444	1.000000	E
SAOUHSC_01673	SAOUHSC_01673	conserved hypothetical protein	56	87	3	16	0.000000	NE
SAOUHSC_01675	SAOUHSC_01675	conserved hypothetical protein	40	51	4	26	0.000000	NE
SAOUHSC_01676	SAOUHSC_01676	conserved hypothetical protein	64	83	3	29	0.000000	NE
SAOUHSC_01677	SAOUHSC_01677	conserved hypothetical protein	52	63	3	33	0.000000	NE
SAOUHSC_01678	rpsU	a small basic protein that is one of the last in the subunit assembly%3B omission does not prevent assembly but the subunit is inactive%3B binds central domain of 16S rRNA	2	15	13	131	1.000000	E
SAOUHSC_01679	SAOUHSC_01679	conserved hypothetical protein	85	109	4	28	0.000000	NE
SAOUHSC_01680	SAOUHSC_01680	in Escherichia coli RsmE methylates the N3 position of the U1498 base in 16S rRNA%3B cells lacking this function can grow%2C but are outcompeted by wild-type%3B SAM-dependent m(3)U1498 methyltransferase	50	63	3	34	0.000000	NE
SAOUHSC_01681	prmA	methylates ribosomal protein L11 at multiple amino acid positions%3B mutations of these genes in Escherichia coli or Thermus thermophilus has no apparent phenotype	63	78	2	11	0.000000	NE
SAOUHSC_01682	SAOUHSC_01682	chaperone Hsp40%3B co-chaperone with DnaK%3B Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins and by disaggregating proteins%2C also in an autonomous%2C dnaK-independent fashion	54	85	4	40	0.000000	NE
SAOUHSC_01683	dnaK	heat shock protein 70%3B assists in folding of nascent polypeptide chains%3B refolding of misfolded proteins%3B utilizes ATPase activity to help fold%3B co-chaperones are DnaJ and GrpE%3B multiple copies in some bacteria	92	156	7	114	0.000000	NE
SAOUHSC_01684	SAOUHSC_01684	with DnaK and DnaJ acts in response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins%3B may act as a thermosensor	20	40	5	57	0.000000	NE
SAOUHSC_01685	SAOUHSC_01685	heat-inducible transcription repressor HrcA	85	98	1	2	0.042150	NE
SAOUHSC_01686	SAOUHSC_01686	catalyzes the oxygen-independent formation of protoporphyrinogen-IX from coproporphyrinogen-III	89	112	2	19	0.000000	NE
SAOUHSC_01687	SAOUHSC_01687	conserved hypothetical protein	5	5	0	0	-1.000000	S
SAOUHSC_01688	SAOUHSC_01688	binds to the ribosome on the universally-conserved alpha-sarcin loop	94	163	7	102	0.000000	NE
SAOUHSC_01689	rpsT	binds directly to the 16S rRNA and is involved in post-translational inhibition of arginine and ornithine decarboxylase	18	23	3	29	0.000000	NE
SAOUHSC_01690	holA	required for the assembly and function of the DNAX complex which is required for the assembly of the beta subunit onto primed DNA	3	97	57	555	0.999600	E
SAOUHSC_01691	SAOUHSC_01691	DNA internalization-related competence protein ComEC/Rec2	187	255	6	38	0.000000	NE
SAOUHSC_01692	SAOUHSC_01692	conserved hypothetical protein	36	42	2	11	0.000000	NE
SAOUHSC_01693	SAOUHSC_01693	conserved hypothetical protein	52	60	2	6	0.000000	NE
SAOUHSC_01694	SAOUHSC_01694	conserved hypothetical protein	40	51	3	13	0.000000	NE
SAOUHSC_01695	SAOUHSC_01695	conserved hypothetical protein	24	32	1	2	0.000000	NE
SAOUHSC_01696	SAOUHSC_01696	conserved hypothetical protein	50	59	2	13	0.000000	NE
SAOUHSC_01697	SAOUHSC_01697	nicotinate (nicotinamide) nucleotide adenylyltransferase	1	53	52	560	1.000000	E
SAOUHSC_01698	SAOUHSC_01698	conserved hypothetical protein	4	30	18	172	0.998000	E
SAOUHSC_01699	SAOUHSC_01699	shikimate 5-dehydrogenase	53	85	4	49	0.000000	NE
SAOUHSC_01700	SAOUHSC_01700	in Bacillus subtilis this enzyme appears to be involved in 30S ribosomal RNA subunit biogenesis	1	95	94	1070	1.000000	E
SAOUHSC_01701	SAOUHSC_01701	conserved hypothetical protein	1	55	53	489	0.999600	E
SAOUHSC_01702	SAOUHSC_01702	MTA/SAH nucleosidase	30	58	7	115	0.000000	NE
SAOUHSC_01704	SAOUHSC_01704	conserved hypothetical protein	27	34	1	2	0.000000	NE
SAOUHSC_01705	SAOUHSC_01705	enterotoxin family protein	53	71	3	34	0.000000	NE
SAOUHSC_01706	SAOUHSC_01706	conserved hypothetical protein	96	135	3	36	0.000000	NE
SAOUHSC_01707	SAOUHSC_01707	conserved hypothetical protein	75	108	5	28	0.000000	NE
SAOUHSC_01708	SAOUHSC_01708	conserved hypothetical protein	35	55	2	29	0.000000	NE
SAOUHSC_01709	SAOUHSC_01709	acetyl-CoA carboxylase%2C biotin carboxylase%2C putative	63	104	9	122	0.000100	NE
SAOUHSC_01710	SAOUHSC_01710	acetyl-CoA carboxylase%2C biotin carboxyl carrier protein%2C putative	22	35	2	22	0.000000	NE
SAOUHSC_01711	SAOUHSC_01711	conserved hypothetical protein	58	81	2	23	0.000000	NE
SAOUHSC_01712	SAOUHSC_01712	conserved hypothetical protein	50	68	3	26	0.000000	NE
SAOUHSC_01714	greA	necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites%3B arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through%2C resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus	2	32	21	255	0.999850	E
SAOUHSC_01715	SAOUHSC_01715	functions in pyrimidine salvage%3B pyrimidine ribonucleoside kinase%3B phosphorylates nucleosides or dinucleosides to make UMP or CMP using ATP or GTP as the donor	46	64	2	11	0.000000	NE
SAOUHSC_01716	SAOUHSC_01716	conserved hypothetical protein	65	96	4	44	0.000000	NE
SAOUHSC_01717	SAOUHSC_01717	conserved hypothetical protein	60	76	3	36	0.000000	NE
SAOUHSC_01718	SAOUHSC_01718	conserved hypothetical protein	49	65	5	36	0.000000	NE
SAOUHSC_01719	SAOUHSC_01719	conserved hypothetical protein	14	22	6	58	0.000000	NE
SAOUHSC_01720	SAOUHSC_01720	similar to RuvC resolvase with substantial differences%3B NMR structural information suggests this protein is monomeric%3B unknown cellular function	3	43	38	391	1.000000	E
SAOUHSC_01721	SAOUHSC_01721	conserved hypothetical protein	5	24	11	115	0.091000	U
SAOUHSC_01722	alaS	Catalyzes a two-step reaction%2C first charging an alanyl molecule by linking its carboxyl group to the alpha-phosphate of ATP%2C followed by transfer of the aminoacyl-adenylate to its tRNA	6	200	68	761	1.000000	E
SAOUHSC_01723	SAOUHSC_01723	conserved hypothetical protein	133	220	6	45	0.000000	NE
SAOUHSC_01724	SAOUHSC_01724	conserved hypothetical protein	41	62	3	19	0.000000	NE
SAOUHSC_01727	SAOUHSC_01727	conserved hypothetical protein	3	88	83	1089	0.999850	E
SAOUHSC_01728	SAOUHSC_01728	conserved hypothetical protein	71	85	3	22	0.000000	NE
SAOUHSC_01729	SAOUHSC_01729	conserved hypothetical protein	12	16	2	29	-1.000000	S
SAOUHSC_01730	SAOUHSC_01730	conserved hypothetical protein	10	15	2	29	0.000000	NE
SAOUHSC_01734	SAOUHSC_01734	conserved hypothetical protein	71	106	4	35	0.000000	NE
SAOUHSC_01735	SAOUHSC_01735	conserved hypothetical protein	53	65	2	32	0.000000	NE
SAOUHSC_01736	SAOUHSC_01736	conserved hypothetical protein	11	17	2	14	-1.000000	S
SAOUHSC_01737	aspS	catalyzes a two-step reaction%2C first charging an aspartate molecule by linking its carboxyl group to the alpha-phosphate of ATP%2C followed by transfer of the aminoacyl-adenylate to its tRNA%3B contains discriminating and non-discriminating subtypes	6	135	63	812	0.999950	E
SAOUHSC_01738	hisS	catalyzes a two-step reaction%2C first charging a histidine molecule by linking its carboxyl group to the alpha-phosphate of ATP%2C followed by transfer of the aminoacyl-adenylate to its tRNA%3B class II aminoacyl-tRNA synthetase%3B forms homodimers%3B some organisms have a paralogous gene%2C hisZ%2C that is similar to hisS and produces a protein that performs the first step in histidine biosynthesis along with HisG	2	123	67	709	0.999950	E
SAOUHSC_01739	SAOUHSC_01739	conserved hypothetical protein	44	81	4	24	0.000000	NE
SAOUHSC_01741	SAOUHSC_01741	hydrolyzes D-tyrosyl-tRNA(Tyr) into D-tyrosine and free tRNA(Tyr)%3B possible defense mechanism against a harmful effect of D-tyrosine	17	40	7	81	0.000000	NE
SAOUHSC_01742	SAOUHSC_01742	GTP pyrophosphokinase	49	188	31	403	0.999950	E
SAOUHSC_01743	SAOUHSC_01743	catalyzes a salvage reaction resulting in the formation of AMP which is metabolically less costly than a de novo synthesis	44	52	2	9	0.000000	NE
SAOUHSC_01744	SAOUHSC_01744	conserved hypothetical protein	161	200	3	21	0.000000	NE
SAOUHSC_01746	SAOUHSC_01746	part of the preprotein secretory system%3B forms a complex with protein YajC%3B SecDFyajC stimulates the proton motive force-driven protein translocation%2C seems to modulate the cycling of SecA by stabilizing its membrane-inserted state and appears to be required for the release of mature proteins from the extracytoplasmic side of the membrane%3B in some organisms%2C such as Bacillus subtilis%2C SecD is fused to SecF	5	212	193	2017	0.495050	U
SAOUHSC_01747	SAOUHSC_01747	preprotein translocase%2C YajC subunit	21	25	1	2	0.000000	NE
SAOUHSC_01748	tgt	Exchanges the guanine residue with 7-aminomethyl-7-deazaguanine in tRNAs with GU(N) anticodons (tRNA-Asp%2C -Asn%2C -His and -Tyr)	72	92	3	15	0.000000	NE
SAOUHSC_01749	queA	Synthesizes oQ from preQ1 in a single S-adenosylmethionine-requiring step	57	94	6	81	0.000000	NE
SAOUHSC_01750	ruvB	promotes strand exchange during homologous recombination%3B RuvAB complex promotes branch migration%3B RuvABC complex scans the DNA during branch migration and resolves Holliday junctions at consensus sequences%3B forms hexameric rings around opposite DNA arms%3B requires ATP for branch migration and orientation of RuvAB complex determines direction of migration	29	82	7	45	0.000000	NE
SAOUHSC_01751	ruvA	plays an essential role in ATP-dependent branch migration of the Holliday junction	27	56	6	56	0.000000	NE
SAOUHSC_01752	SAOUHSC_01752	ACT domain protein	32	50	3	16	0.000000	NE
SAOUHSC_01753	obgE	essential GTPase%3B exhibits high exchange rate for GTP/GDP%3B associates with 50S ribosomal subunit%3B involved in regulation of chromosomal replication	2	108	71	801	0.999950	E
SAOUHSC_01755	rpmA	involved in the peptidyltransferase reaction during translation	0	23	23	272	1.000000	E
SAOUHSC_01756	SAOUHSC_01756	conserved hypothetical protein	2	30	28	302	1.000000	E
SAOUHSC_01757	rplU	ribosomal protein L21	0	26	26	296	1.000000	E
SAOUHSC_01758	SAOUHSC_01758	conserved hypothetical protein	59	71	2	12	0.000000	NE
SAOUHSC_01759	SAOUHSC_01759	in some organisms this protein is a transmembrane protein while in others it is periplasmic%3B involved in some organisms with other components of the MreBCD complex and with penicillin binding proteins in the periplasm or cell wall	64	79	2	11	0.000000	NE
SAOUHSC_01760	SAOUHSC_01760	conserved hypothetical protein	3	3	0	0	-1.000000	S
SAOUHSC_01761	SAOUHSC_01761	conserved hypothetical protein	37	48	3	20	0.000000	NE
SAOUHSC_01761a	SAOUHSC_01761a	-	21	24	2	13	0.000000	NE
SAOUHSC_01762	SAOUHSC_01762	conserved hypothetical protein	23	35	4	25	0.000000	NE
SAOUHSC_01763	SAOUHSC_01763	-	30	52	6	88	0.000000	NE
SAOUHSC_01764	SAOUHSC_01764	conserved hypothetical protein	76	93	4	40	0.000000	NE
SAOUHSC_01765	SAOUHSC_01765	-	8	13	3	21	-1.000000	S
SAOUHSC_01766	SAOUHSC_01766	folylpolyglutamate synthase/dihydrofolate synthase%2C putative	2	123	102	1066	0.997500	E
SAOUHSC_01767	valS	valine--tRNA ligase%3B ValRS%3B converts valine ATP and tRNA(Val) to AMP PPi and valyl-tRNA(Val)%3B class-I aminoacyl-tRNA synthetase type 1 subfamily%3B has a posttransfer editing process to hydrolyze mischarged Thr-tRNA(Val) which is done by the editing domain	6	230	128	1516	1.000000	E
SAOUHSC_01768	SAOUHSC_01768	conserved hypothetical protein	39	53	3	16	0.000000	NE
SAOUHSC_01769	SAOUHSC_01769	conserved hypothetical protein	96	119	3	23	0.000000	NE
SAOUHSC_01770	SAOUHSC_01770	conserved hypothetical protein	5	8	2	9	-1.000000	S
SAOUHSC_01771	SAOUHSC_01771	Converts (S)-4-amino-5-oxopentanoate to 5-aminolevulinate during the porphyrin biosynthesis pathway	77	115	5	44	0.000000	NE
SAOUHSC_01772	SAOUHSC_01772	catalyzes the formation of porphobilinogen from 5-aminolevulinate	3	76	68	874	1.000000	E
SAOUHSC_01773	SAOUHSC_01773	uroporphyrinogen-III synthase%2C putative	3	58	30	340	0.999950	E
SAOUHSC_01774	hemC	transformation of porphobilinogen to hydroxymethylbilane in porphyrin biosynthesis	2	89	85	871	0.999550	E
SAOUHSC_01775	SAOUHSC_01775	conserved hypothetical protein	62	98	5	35	0.000000	NE
SAOUHSC_01776	hemA	catalyzes the formation of glutamate-1-semialdehyde from glutamyl-tRNA(Glu) and NADPH%3B the second step of the pathway is catalyzed by glutamate-1-semialdehyde aminomutase which results in the formation of 5-aminolevulinic acid%3B functions in porphyrin (tetrapyrroles) biosynthesis%3B the crystal structure showed a C-terminal dimerization domain that appears to be absent in Chlamydial proteins	10	111	28	363	1.000000	E
SAOUHSC_01777	engB	binds guanine nucleotides%3B in Escherichia coli depletion results in defective cell division and filamentation%3B in Bacillus subtilis this gene is essential	5	63	19	187	0.854250	U
SAOUHSC_01778	clpX	binds and unfolds substrates as part of the ClpXP protease	16	97	48	651	0.999950	E
SAOUHSC_01779	tig	Tig%3B RopA%3B peptidyl-prolyl cis/trans isomerase%3B promotes folding of newly synthesized proteins%3B binds ribosomal 50S subunit%3B forms a homodimer	57	94	9	117	0.000050	NE
SAOUHSC_01780	SAOUHSC_01780	-	12	13	1	2	-1.000000	S
SAOUHSC_01781	SAOUHSC_01781	conserved hypothetical protein	75	90	3	35	0.000000	NE
SAOUHSC_01782	SAOUHSC_01782	conserved hypothetical protein	22	55	7	71	0.000000	NE
SAOUHSC_01783	SAOUHSC_01783	-	6	12	3	9	-1.000000	S
SAOUHSC_01784	rplT	binds directly to 23S ribosomal RNA prior to in vitro assembly of the 50S ribosomal subunit	2	31	24	276	1.000000	E
SAOUHSC_01785	rpmI	ribosomal protein L35	1	16	12	164	1.000000	E
SAOUHSC_01786	infC	IF-3 has several functions that are required and promote translation initiation including%3B preventing association of 70S by binding to 30S%3B monitoring codon-anticodon interactions by promoting disassociation of fMet-tRNA(fMet) from initiation complexes formed on leaderless mRNAs or incorrectly bound noninitiatior tRNAs and complexes with noncanonical start sites%3B stimulates codon-anticodon interactions at P-site%3B involved in moving mRNA to the P-site%3B and in recycling subunits	0	30	30	497	0.999400	E
SAOUHSC_01787	SAOUHSC_01787	conserved hypothetical protein	3	141	60	498	0.550900	U
SAOUHSC_01788	thrS	catalyzes a two-step reaction%2C first charging a threonine molecule by linking its carboxyl group to the alpha-phosphate of ATP%2C followed by transfer of the aminoacyl-adenylate to its tRNA%3B catalyzes the formation of threonyl-tRNA(Thr) from threonine and tRNA(Thr)	8	158	57	724	1.000000	E
SAOUHSC_01789	SAOUHSC_01789	conserved hypothetical protein	7	17	4	16	-1.000000	S
SAOUHSC_01791	SAOUHSC_01791	Primosomal protein that may act to load helicase DnaC during DNA replication	1	74	69	842	1.000000	E
SAOUHSC_01792	SAOUHSC_01792	conserved hypothetical protein	2	110	89	1133	0.999900	E
SAOUHSC_01793	nrdR	conserved hypothetical protein	19	30	3	17	0.000000	NE
SAOUHSC_01794	SAOUHSC_01794	glyceraldehyde-3-phosphate dehydrogenase%2C type I	68	94	2	8	0.000000	NE
SAOUHSC_01795	coaE	catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A%3B involved in coenzyme A biosynthesis	4	55	32	349	1.000000	E
SAOUHSC_01796	SAOUHSC_01796	formamidopyrimidine-DNA glycosylase	67	83	4	44	0.000000	NE
SAOUHSC_01797	SAOUHSC_01797	DNA polymerase I	215	254	2	10	0.000200	NE
SAOUHSC_01798	SAOUHSC_01798	conserved hypothetical protein	145	174	4	26	0.000000	NE
SAOUHSC_01799	SAOUHSC_01799	Histidine kinase-%2C DNA gyrase B-%2C and HSP90-like ATPase domain protein	119	160	5	41	0.000000	NE
SAOUHSC_01800	SAOUHSC_01800	two-component response regulator%2C putative	47	70	3	15	0.000000	NE
SAOUHSC_01801	SAOUHSC_01801	Converts isocitrate to alpha ketoglutarate	70	105	4	33	0.000000	NE
SAOUHSC_01802	SAOUHSC_01802	conserved hypothetical protein	61	76	3	50	0.000000	NE
SAOUHSC_01803	SAOUHSC_01803	conserved hypothetical protein	108	136	3	50	0.000000	NE
SAOUHSC_01806	SAOUHSC_01806	pyruvate kinase	21	149	54	610	1.000000	E
SAOUHSC_01807	SAOUHSC_01807	catalyzes the formation of D-fructose 1%2C6-bisphosphate from D-fructose 6-phosphate in glycolysis	1	75	74	902	1.000000	E
SAOUHSC_01808	SAOUHSC_01808	catalyzes the carboxylation of acetyl-CoA to malonyl-CoA%3B forms a tetramer composed of two alpha (AccA) and two beta (AccD) subunits%3B one of the two catalytic subunits that can form the acetyl CoA carboxylase enzyme together with a carrier protein	3	78	75	927	1.000000	E
SAOUHSC_01809	SAOUHSC_01809	catalyzes the carboxylation of acetyl-CoA to malonyl-CoA%3B forms a tetramer of AccA2D2 subunits	0	68	68	854	1.000000	E
SAOUHSC_01810	SAOUHSC_01810	NADP-dependent malic enzyme%2C putative	93	117	2	9	0.000000	NE
SAOUHSC_01811	SAOUHSC_01811	DNA polymerase III%2C alpha subunit superfamily	5	291	156	1839	1.000000	E
SAOUHSC_01812	SAOUHSC_01812	conserved hypothetical protein	22	77	20	325	1.000000	E
SAOUHSC_01813	SAOUHSC_01813	conserved hypothetical protein	100	126	4	34	0.000000	NE
SAOUHSC_01814	SAOUHSC_01814	conserved hypothetical protein	30	38	1	2	0.000000	NE
SAOUHSC_01815	SAOUHSC_01815	catalyzes the opening and hydrolysis of the beta-lactam ring of beta-lactam antibiotics such as penicillins and cephalosporins	36	51	2	8	0.000000	NE
SAOUHSC_01816	SAOUHSC_01816	conserved hypothetical protein	74	93	2	14	0.000000	NE
SAOUHSC_01817	SAOUHSC_01817	conserved hypothetical protein	8	9	1	2	-1.000000	S
SAOUHSC_01818	SAOUHSC_01818	alanine dehydrogenase	74	104	4	26	0.000000	NE
SAOUHSC_01819	SAOUHSC_01819	conserved hypothetical protein	31	40	2	8	0.000000	NE
SAOUHSC_01820	SAOUHSC_01820	AckA utilizes acetate and can acetylate CheY which increases signal strength during flagellar rotation%3B utilizes magnesium and ATP%3B also involved in conversion of acetate to aceyl-CoA	13	104	17	200	0.859950	U
