#Tn5 Gaps
#Console: python /galaxy/home/delphinel/miniconda3/envs/tnseq/bin/transit tn5gaps bedgraphs/ERR2249109_1_BW25113.wig,bedgraphs/ERR2249110_1_BW25113.wig,bedgraphs/ERR2249111_1_BW25113.wig,bedgraphs/ERR2249112_1_BW25113.wig BW25113.prot_table transit_res/sum_all_1_BW25113.tab -r Sum
#Data: bedgraphs/ERR2249109_1_BW25113.wig,bedgraphs/ERR2249110_1_BW25113.wig,bedgraphs/ERR2249111_1_BW25113.wig,bedgraphs/ERR2249112_1_BW25113.wig
#Annotation path: BW25113.prot_table
#Time: 126.894939184
#Essential gene count: 455
#Minimum reads: 1
#Replicate combination method: Sum
#Minimum significant run length: 80
#Expected run length: 5.13993
#Expected max run length: 59.4475978239
#Orf	Name	Desc	k	n	r	ovr	lenovr	pval	padj	call
BW25113_2510	yfgJ	-	41	213	31	31	31	1.00000	1.00000	Non-essential
BW25113_2511	der	putative GTP-binding factor	16	1470	366	366	366	0.00000	0.00000	Essential
BW25113_2512	bamB	putative dehydrogenase	154	1176	57	57	57	0.67893	1.00000	Non-essential
BW25113_2513	yfgM	-	86	618	38	38	38	1.00000	1.00000	Non-essential
BW25113_2514	hisS	histidine tRNA synthetase	13	1272	387	387	415	0.00000	0.00000	Essential
BW25113_2515	ispG	-	14	1116	366	366	366	0.00000	0.00000	Essential
BW25113_2516	rodZ	putative membrane protein	121	1011	97	97	97	0.00008	0.00087	Essential
BW25113_2517	rlmN	-	227	1152	33	33	33	1.00000	1.00000	Non-essential
BW25113_2518	ndk	nucleoside diphosphate kinase	47	429	43	43	43	1.00000	1.00000	Non-essential
BW25113_2519	pbpC	penicillin binding protein 1C (PBP 1C)	368	2310	32	32	32	1.00000	1.00000	Non-essential
BW25113_2520	yfhM	-	885	4959	48	48	48	0.99995	1.00000	Non-essential
BW25113_2521	sseA	putative thiosulfate sulfurtransferase	210	843	46	46	46	1.00000	1.00000	Non-essential
BW25113_2522	sseB	enhanced serine sensitivity	269	774	55	55	59	0.50495	1.00000	Non-essential
BW25113_2523	pepB	putative peptidase	250	1281	23	23	23	1.00000	1.00000	Non-essential
BW25113_2524	iscX	-	27	198	43	43	43	1.00000	1.00000	Non-essential
BW25113_2525	fdx	[2FE-2S] ferredoxin%2C electron carrer protein	22	333	78	78	78	0.00734	0.06733	Non-essential
BW25113_2526	hscA	DnaK-homologue chaperone Hsc66	78	1848	93	93	93	0.00020	0.00218	Essential
BW25113_2527	hscB	-	39	513	71	71	71	0.03873	0.31387	Non-essential
BW25113_2528	iscA	-	29	321	63	63	63	0.23608	1.00000	Non-essential
BW25113_2529	iscU	-	6	384	164	164	186	0.00000	0.00000	Essential
BW25113_2530	iscS	cysteine desulfurase%3B cysteine desulfurase (tRNA sulfurtransferase) PLP-dependent	26	1212	133	133	133	0.00000	0.00000	Essential
BW25113_2531	iscR	Fe-S cluster-containing transcription factor%3B transcriptional repressor of iscRSUA operon	43	486	83	83	83	0.00222	0.02224	Essential
BW25113_2532	trmJ	-	124	738	36	36	36	1.00000	1.00000	Non-essential
BW25113_2533	suhB	inositol-1-monophosphatase	22	801	220	220	220	0.00000	0.00000	Essential
BW25113_2534	yfhR	putative enzyme (3.4.-)	155	852	31	31	31	1.00000	1.00000	Non-essential
BW25113_2535	csiE	-	273	1278	31	31	31	1.00000	1.00000	Non-essential
BW25113_2536	hcaT	MFS (major facilitator superfamily) transporter	190	1137	33	33	33	1.00000	1.00000	Non-essential
BW25113_2537	hcaR	transcriptional activator of hca cluster%3B completely contained in another CDS	153	888	36	36	36	1.00000	1.00000	Non-essential
BW25113_2538	hcaE	-	254	1359	31	31	31	1.00000	1.00000	Non-essential
BW25113_2539	hcaF	small terminal subunit of phenylpropionate dioxygenase	89	516	49	49	49	0.99957	1.00000	Non-essential
BW25113_2540	hcaC	ferredoxin subunit of phenylpropionate dioxygenase	58	318	30	30	30	1.00000	1.00000	Non-essential
BW25113_2541	hcaB	-	128	810	35	35	35	1.00000	1.00000	Non-essential
BW25113_2542	hcaD	ferredoxin reductase subunit of phenylpropionate dioxygenase	228	1200	39	39	41	1.00000	1.00000	Non-essential
BW25113_2543	yphA	-	91	420	36	36	36	1.00000	1.00000	Non-essential
BW25113_2544	yphB	-	166	870	40	40	40	1.00000	1.00000	Non-essential
BW25113_2545	yphC	putative oxidoreductase	169	1059	42	42	42	1.00000	1.00000	Non-essential
BW25113_2546	yphD	putative transport system permease protein	171	996	38	38	38	1.00000	1.00000	Non-essential
BW25113_2547	yphE	putative ATP-binding component of a transport system	280	1509	36	36	36	1.00000	1.00000	Non-essential
BW25113_2548	yphF	putative LACI-type transcriptional regulator	379	981	28	28	28	1.00000	1.00000	Non-essential
BW25113_2549	yphG	-	668	3279	61	61	61	0.35282	1.00000	Non-essential
BW25113_2550	yphH	putative NAGC-like transcriptional regulator	227	1191	32	32	32	1.00000	1.00000	Non-essential
BW25113_2551	glyA	-	4	1251	1151	1151	1151	0.00000	0.00000	Essential
BW25113_2552	hmp	dihydropteridine reductase%2C ferrisiderophore reductase activity	225	1188	29	29	29	1.00000	1.00000	Non-essential
BW25113_2553	glnB	-	66	336	29	29	29	1.00000	1.00000	Non-essential
BW25113_2554	glrR	putative 2-component transcriptional regulator	247	1332	35	35	35	1.00000	1.00000	Non-essential
BW25113_2555	yfhG	putative alpha helix protein	130	711	36	36	43	1.00000	1.00000	Non-essential
BW25113_2556	glrK	putative 2-component sensor protein	298	1425	62	62	62	0.28987	1.00000	Non-essential
BW25113_2557	purL	phosphoribosylformyl-glycineamide synthetase %3D FGAM synthetase	713	3885	38	38	38	1.00000	1.00000	Non-essential
BW25113_2558	mltF	putative periplasmic binding transport protein	290	1554	34	34	34	1.00000	1.00000	Non-essential
BW25113_2559	tadA	-	18	501	95	95	95	0.00012	0.00138	Essential
BW25113_2560	pgpC	-	118	633	22	22	22	1.00000	1.00000	Non-essential
BW25113_2561	yfhH	-	199	846	27	27	27	1.00000	1.00000	Non-essential
BW25113_2562	yfhL	-	130	258	14	14	14	1.00000	1.00000	Non-essential
BW25113_2563	acpS	CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase	4	378	173	176	177	0.00000	0.00000	Essential
BW25113_2564	pdxJ	pyridoxine biosynthesis	78	729	45	45	45	1.00000	1.00000	Non-essential
BW25113_2565	recO	protein interacts with RecR and possibly RecF proteins	130	726	27	30	33	1.00000	1.00000	Non-essential
BW25113_2566	era	GTP-binding protein	8	903	715	715	715	0.00000	0.00000	Essential
BW25113_2567	rnc	RNase III%2C ds RNA	57	678	78	78	78	0.00734	0.06733	Non-essential
BW25113_2568	lepB	-	27	972	189	189	189	0.00000	0.00000	Essential
BW25113_2569	lepA	GTP-binding elongation factor%2C may be inner membrane protein	153	1797	99	99	99	0.00005	0.00054	Essential
BW25113_2570	rseC	sigma-E factor%2C negative regulatory protein	88	477	25	25	25	1.00000	1.00000	Non-essential
BW25113_2571	rseB	regulates activity of sigma-E factor	160	954	41	41	41	1.00000	1.00000	Non-essential
BW25113_2572	rseA	sigma-E factor%2C negative regulatory protein	74	648	52	52	52	0.97696	1.00000	Non-essential
BW25113_2573	rpoE	RNA polymerase%2C sigma-E factor%3B heat shock and oxidative stress	18	573	110	110	110	0.00000	0.00004	Essential
BW25113_2574	nadB	quinolinate synthetase%2C B protein	334	1620	35	35	35	1.00000	1.00000	Non-essential
BW25113_2575	trmN	putative enzyme	154	735	44	44	44	1.00000	1.00000	Non-essential
BW25113_2576	srmB	-	173	1332	57	57	57	0.67893	1.00000	Non-essential
BW25113_2577	yfiE	putative transcriptional regulator LYSR-type	150	879	30	30	30	1.00000	1.00000	Non-essential
BW25113_2578	eamB	-	102	585	34	34	34	1.00000	1.00000	Non-essential
BW25113_2579	grcA	putative formate acetyltransferase	68	381	23	23	23	1.00000	1.00000	Non-essential
BW25113_2580	ung	-	126	687	30	30	30	1.00000	1.00000	Non-essential
BW25113_2581	yfiF	-	180	1035	42	42	42	1.00000	1.00000	Non-essential
BW25113_2582	trxC	putative thioredoxin-like protein	59	417	32	32	32	1.00000	1.00000	Non-essential
BW25113_2583	yfiP	-	108	696	34	34	34	1.00000	1.00000	Non-essential
BW25113_2584	pka	-	428	2658	49	49	49	0.99957	1.00000	Non-essential
BW25113_2585	pssA	phosphatidylserine synthase%3B phospholipid synthesis	11	1353	669	669	669	0.00000	0.00000	Essential
BW25113_2586	yfiM	-	44	321	21	21	21	1.00000	1.00000	Non-essential
BW25113_2587	kgtP	alpha-ketoglutarate permease	182	1296	46	46	46	1.00000	1.00000	Non-essential
BW25113_2588	rrfG	-	21	117	22	22	22	1.00000	1.00000	Non-essential
BW25113_2589	rrlG	-	706	2901	26	26	26	1.00000	1.00000	Non-essential
BW25113_2590	gltW	-	11	73	22	22	22	1.00000	1.00000	Non-essential
BW25113_2591	rrsG	-	350	1539	40	40	40	1.00000	1.00000	Non-essential
BW25113_2592	clpB	heat shock protein	598	2571	27	27	27	1.00000	1.00000	Non-essential
BW25113_2593	yfiH	-	187	729	26	26	26	1.00000	1.00000	Non-essential
BW25113_2594	rluD	-	32	978	232	232	232	0.00000	0.00000	Essential
BW25113_2595	bamD	-	13	735	265	265	265	0.00000	0.00000	Essential
BW25113_2597	raiA	putative yhbH sigma 54 modulator	61	339	28	28	28	1.00000	1.00000	Non-essential
BW25113_2598	pheL	leader peptide of chorismate mutase-P-prephenate dehydratase	4	45	20	20	20	1.00000	1.00000	Non-essential
BW25113_2599	pheA	chorismate mutase-P and prephenate dehydratase	226	1158	42	42	42	1.00000	1.00000	Non-essential
BW25113_2600	tyrA	chorismate mutase-T and prephenate dehydrogenase	199	1119	41	41	41	1.00000	1.00000	Non-essential
BW25113_2601	aroF	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase%2C tyrosine repressible)	210	1068	54	54	54	0.90304	1.00000	Non-essential
BW25113_2602	yfiL	-	132	363	20	20	40	1.00000	1.00000	Non-essential
BW25113_2603	yfiR	-	228	516	17	17	17	1.00000	1.00000	Non-essential
BW25113_2604	yfiN	-	254	1224	32	32	32	1.00000	1.00000	Non-essential
BW25113_2605	yfiB	putative outer membrane protein	95	480	35	35	35	1.00000	1.00000	Non-essential
BW25113_2606	rplS	-	13	345	130	130	130	0.00000	0.00000	Essential
BW25113_2607	trmD	tRNA methyltransferase%3B tRNA (guanine-7-)-methyltransferase	8	765	193	193	193	0.00000	0.00000	Essential
BW25113_2608	rimM	-	9	546	258	258	258	0.00000	0.00000	Essential
BW25113_2609	rpsP	-	2	246	230	230	244	0.00000	0.00000	Essential
BW25113_2610	ffh	GTP-binding export factor binds to signal sequence%2C GTP and RNA	23	1359	242	242	242	0.00000	0.00000	Essential
BW25113_2611	ypjD	-	175	789	30	30	30	1.00000	1.00000	Non-essential
BW25113_2614	grpE	phage lambda replication%3B host DNA synthesis%3B heat shock protein%3B protein repair	23	591	167	167	167	0.00000	0.00000	Essential
BW25113_2615	nadK	-	7	876	368	368	368	0.00000	0.00000	Essential
BW25113_2616	recN	protein used in recombination and DNA repair	310	1659	28	28	28	1.00000	1.00000	Non-essential
BW25113_2617	bamE	small membrane protein A	88	339	14	14	14	1.00000	1.00000	Non-essential
BW25113_2618	ratB	-	56	288	23	23	23	1.00000	1.00000	Non-essential
BW25113_2619	ratA	-	35	474	57	57	61	0.35282	1.00000	Non-essential
BW25113_2620	smpB	small protein B	49	480	35	35	35	1.00000	1.00000	Non-essential
BW25113_2621	ssrA	-	17	360	64	64	68	0.07793	0.58730	Non-essential
BW25113_2622	intA	prophage CP4-57 integrase	307	1239	63	63	63	0.23608	1.00000	Non-essential
BW25113_2623	yfjH	putative histone	216	954	71	71	71	0.03873	0.31387	Non-essential
BW25113_2624	alpA	prophage CP4-57 regulatory protein alpA	105	210	12	12	12	1.00000	1.00000	Non-essential
BW25113_2625	yfjI	-	282	1407	130	130	130	0.00000	0.00000	Essential
BW25113_2626	yfjJ	-	266	624	16	16	16	1.00000	1.00000	Non-essential
BW25113_2627	yfjK	-	567	2187	27	27	27	1.00000	1.00000	Non-essential
BW25113_2628	yfjL	-	320	1614	49	49	49	0.99957	1.00000	Non-essential
BW25113_2629	yfjM	-	77	261	29	29	29	1.00000	1.00000	Non-essential
BW25113_2630	rnlA	putative cell division protein	282	1071	34	34	34	1.00000	1.00000	Non-essential
BW25113_2631	rnlB	-	56	369	42	42	42	1.00000	1.00000	Non-essential
BW25113_2632	yfjP	putative GTP-binding protein	200	861	40	40	40	1.00000	1.00000	Non-essential
BW25113_2633	yfjQ	-	190	819	27	27	27	1.00000	1.00000	Non-essential
BW25113_2634	yfjR	-	164	699	27	27	27	1.00000	1.00000	Non-essential
BW25113_2635	ypjK	-	48	234	21	21	21	1.00000	1.00000	Non-essential
BW25113_2636	yfjS	-	116	441	25	25	25	1.00000	1.00000	Non-essential
BW25113_2637	yfjT	-	118	465	20	20	20	1.00000	1.00000	Non-essential
BW25113_2642	yfjW	-	120	1701	184	184	184	0.00000	0.00000	Essential
BW25113_2643	yfjX	-	124	456	18	18	18	1.00000	1.00000	Non-essential
BW25113_2644	yfjY	putative DNA repair protein	145	480	30	30	30	1.00000	1.00000	Non-essential
BW25113_2645	yfjZ	-	87	315	27	27	27	1.00000	1.00000	Non-essential
BW25113_2646	ypjF	-	76	327	21	21	21	1.00000	1.00000	Non-essential
BW25113_2647	ypjA	putative ATP-binding component of a transport system	1722	4578	29	29	29	1.00000	1.00000	Non-essential
BW25113_2652	ileY	-	42	73	4	4	5	1.00000	1.00000	Non-essential
BW25113_2659	csiD	-	171	975	31	31	31	1.00000	1.00000	Non-essential
BW25113_2660	lhgO	-	202	1266	54	54	54	0.90304	1.00000	Non-essential
BW25113_2661	gabD	succinate-semialdehyde dehydrogenase%2C NADP-dependent activity	218	1446	35	35	35	1.00000	1.00000	Non-essential
BW25113_2662	gabT	4-aminobutyrate aminotransferase activity	240	1278	47	47	47	1.00000	1.00000	Non-essential
BW25113_2663	gabP	transport permease protein of gamma-aminobutyrate	512	1398	26	26	26	1.00000	1.00000	Non-essential
BW25113_2664	csiR	putative transcriptional regulator	164	660	36	36	36	1.00000	1.00000	Non-essential
BW25113_2665	ygaU	-	111	447	36	36	36	1.00000	1.00000	Non-essential
BW25113_2666	yqaE	-	68	156	10	10	10	1.00000	1.00000	Non-essential
BW25113_2667	ygaV	-	160	297	11	11	11	1.00000	1.00000	Non-essential
BW25113_2668	ygaP	-	231	522	8	8	8	1.00000	1.00000	Non-essential
BW25113_2669	stpA	DNA-binding protein%3B H-NS-like protein%3B chaperone activity%3B RNA splicing?	182	402	20	20	20	1.00000	1.00000	Non-essential
BW25113_2670	alaE	-	134	447	17	17	17	1.00000	1.00000	Non-essential
BW25113_2671	ygaC	-	105	342	32	32	32	1.00000	1.00000	Non-essential
BW25113_2672	ygaM	-	79	327	26	26	26	1.00000	1.00000	Non-essential
BW25113_2673	nrdH	glutaredoxin-like protein%3B hydrogen donor	32	243	22	22	22	1.00000	1.00000	Non-essential
BW25113_2674	nrdI	-	69	408	31	31	31	1.00000	1.00000	Non-essential
BW25113_2675	nrdE	-	440	2142	58	58	58	0.59088	1.00000	Non-essential
BW25113_2676	nrdF	ribonucleoside-diphosphate reductase 2%2C beta chain%2C frag	239	957	45	45	45	1.00000	1.00000	Non-essential
BW25113_2677	proV	ATP-binding component of transport system for glycine%2C betaine and proline	541	1200	26	26	26	1.00000	1.00000	Non-essential
BW25113_2678	proW	high-affinity transport system for glycine betaine and proline%3B membrane component of ABC superfamily	222	1062	25	25	25	1.00000	1.00000	Non-essential
BW25113_2679	proX	high-affinity transport system for glycine betaine and proline%3B periplasmic-binding component of ABC superfamily	189	990	29	29	29	1.00000	1.00000	Non-essential
BW25113_2682	ygaZ	-	149	735	29	29	29	1.00000	1.00000	Non-essential
BW25113_2683	ygaH	-	68	333	20	20	20	1.00000	1.00000	Non-essential
BW25113_2684	mprA	regulator of plasmid mcrB operon (microcin B17 synthesis)	80	528	50	50	50	0.99774	1.00000	Non-essential
BW25113_2685	emrA	multidrug resistance secretion protein	237	1170	37	37	37	1.00000	1.00000	Non-essential
BW25113_2686	emrB	multidrug resistance%3B probably membrane translocase	284	1536	32	32	32	1.00000	1.00000	Non-essential
BW25113_2687	luxS	-	109	513	16	16	16	1.00000	1.00000	Non-essential
BW25113_2688	gshA	-	247	1554	32	32	32	1.00000	1.00000	Non-essential
BW25113_2689	yqaA	-	83	426	31	31	31	1.00000	1.00000	Non-essential
BW25113_2690	yqaB	putative phosphatase	120	564	23	23	23	1.00000	1.00000	Non-essential
BW25113_2691	argQ	-	14	74	21	21	21	1.00000	1.00000	Non-essential
BW25113_2692	argZ	-	15	74	18	21	24	1.00000	1.00000	Non-essential
BW25113_2693	argY	-	13	74	12	12	12	1.00000	1.00000	Non-essential
BW25113_2694	argV	-	5	74	33	36	41	1.00000	1.00000	Non-essential
BW25113_2695	serV	-	1	90	85	88	112	0.00000	0.00003	Essential
BW25113_2696	csrA	carbon storage regulator%3B controls glycogen synthesis%2C gluconeogenesis%2C cell size and surface properties	9	183	65	65	65	0.15351	1.00000	Non-essential
BW25113_2697	alaS	-	7	2628	1361	1361	1361	0.00000	0.00000	Essential
BW25113_2698	recX	regulator%2C OraA protein	96	498	26	28	28	1.00000	1.00000	Non-essential
BW25113_2699	recA	DNA strand exchange and renaturation%2C DNA-dependent ATPase%2C DNA- and ATP-dependent coprotease	120	1059	62	62	62	0.28987	1.00000	Non-essential
BW25113_2700	pncC	-	108	495	26	29	53	0.94850	1.00000	Non-essential
BW25113_2701	mltB	-	225	1083	28	28	28	1.00000	1.00000	Non-essential
BW25113_2702	srlA	PTS system%2C glucitol/sorbitol-specific IIC component%2C one of two	139	561	26	26	26	1.00000	1.00000	Non-essential
BW25113_2703	srlE	PTS system%2C glucitol/sorbitol-specific IIB component and second of two IIC components	197	957	29	29	29	1.00000	1.00000	Non-essential
BW25113_2704	srlB	PTS system%2C glucitol/sorbitol-specific enzyme IIA component	93	369	18	18	18	1.00000	1.00000	Non-essential
BW25113_2705	srlD	glucitol (sorbitol)-6-phosphate dehydrogenase	141	777	37	37	37	1.00000	1.00000	Non-essential
BW25113_2706	srlM	glucitol operon activator	80	357	31	31	31	1.00000	1.00000	Non-essential
BW25113_2707	srlR	regulator for gut (srl)%2C glucitol operon	135	771	42	42	42	1.00000	1.00000	Non-essential
BW25113_2708	srlQ	-	193	963	26	26	26	1.00000	1.00000	Non-essential
BW25113_2709	norR	putative 2-component transcriptional regulator	292	1512	29	29	29	1.00000	1.00000	Non-essential
BW25113_2710	norV	putative flavodoxin	264	1437	36	36	36	1.00000	1.00000	Non-essential
BW25113_2711	norW	putative oxidoreductase	199	1131	45	45	45	1.00000	1.00000	Non-essential
BW25113_2712	hypF	transcriptional regulatory protein	454	2250	37	37	37	1.00000	1.00000	Non-essential
BW25113_2713	hydN	involved in electron transport from formate to hydrogen%2C Fe-S centers	97	525	26	26	26	1.00000	1.00000	Non-essential
BW25113_2714	ascG	ascBF operon repressor	175	1008	37	37	37	1.00000	1.00000	Non-essential
BW25113_2715	ascF	PTS system enzyme II ABC (asc)%2C cryptic%2C transports specific beta-glucosides	281	1455	35	35	35	1.00000	1.00000	Non-essential
BW25113_2716	ascB	6-phospho-beta-glucosidase%3B cryptic	242	1422	50	50	50	0.99774	1.00000	Non-essential
BW25113_2717	hycI	protease involved in processing C-terminal end of the large subunit of hydrogenase 3	94	468	29	29	29	1.00000	1.00000	Non-essential
BW25113_2718	hycH	processing of large subunit (HycE) of hydrogenase 3 (part of the FHL complex)	94	408	21	21	21	1.00000	1.00000	Non-essential
BW25113_2719	hycG	hydrogenase activity	144	765	22	22	22	1.00000	1.00000	Non-essential
BW25113_2720	hycF	probable iron-sulfur protein of hydrogenase 3 (part of FHL complex)	119	540	33	33	33	1.00000	1.00000	Non-essential
BW25113_2721	hycE	large subunit of hydrogenase 3 (part of FHL complex)	376	1707	30	30	30	1.00000	1.00000	Non-essential
BW25113_2722	hycD	membrane-spanning protein of hydrogenase 3 (part of FHL complex)	175	921	37	37	37	1.00000	1.00000	Non-essential
BW25113_2723	hycC	membrane-spanning protein of hydrogenase 3 (part of FHL complex)	361	1824	42	42	42	1.00000	1.00000	Non-essential
BW25113_2724	hycB	probable small subunit of hydrogenase-3%2C iron-sulfur protein (part of formate hydrogenlyase (FHL) complex)	143	609	26	26	26	1.00000	1.00000	Non-essential
BW25113_2725	hycA	transcriptional repression of hyc and hyp operons	93	459	20	20	20	1.00000	1.00000	Non-essential
BW25113_2726	hypA	pleiotrophic effects on 3 hydrogenase isozymes	64	348	28	28	28	1.00000	1.00000	Non-essential
BW25113_2727	hypB	guanine-nucleotide binding protein%2C functions as nickel donor for large subunit of hydrogenase 3	163	870	35	35	35	1.00000	1.00000	Non-essential
BW25113_2728	hypC	pleiotrophic effects on 3 hydrogenase isozymes	61	270	39	39	39	1.00000	1.00000	Non-essential
BW25113_2729	hypD	pleiotrophic effects on 3 hydrogenase isozymes	238	1119	54	54	54	0.90304	1.00000	Non-essential
BW25113_2730	hypE	plays structural role in maturation of all 3 hydrogenases	230	1008	31	31	31	1.00000	1.00000	Non-essential
BW25113_2731	fhlA	formate hydrogen-lyase transcriptional activator for fdhF%2C hyc and hyp operons	375	2076	44	44	44	1.00000	1.00000	Non-essential
BW25113_2732	ygbA	-	69	351	32	32	32	1.00000	1.00000	Non-essential
BW25113_2733	mutS	methyl-directed mismatch repair	588	2559	30	30	30	1.00000	1.00000	Non-essential
BW25113_2734	pphB	protein phosphatase 2	247	654	28	28	28	1.00000	1.00000	Non-essential
BW25113_2735	ygbI	putative DEOR-type transcriptional regulator	184	765	38	38	38	1.00000	1.00000	Non-essential
BW25113_2736	ygbJ	-	163	906	38	38	38	1.00000	1.00000	Non-essential
BW25113_2737	ygbK	-	228	1164	45	45	45	1.00000	1.00000	Non-essential
BW25113_2738	ygbL	putative epimerase/aldolase	122	636	38	38	38	1.00000	1.00000	Non-essential
BW25113_2739	ygbM	-	191	774	19	19	19	1.00000	1.00000	Non-essential
BW25113_2740	ygbN	putative transport protein	298	1362	40	40	40	1.00000	1.00000	Non-essential
BW25113_2741	rpoS	RNA polymerase%2C sigma S (sigma38) factor%3B synthesis of many growth phase related proteins	205	990	34	34	34	1.00000	1.00000	Non-essential
BW25113_2742	nlpD	lipoprotein	247	1137	37	37	37	1.00000	1.00000	Non-essential
BW25113_2743	pcm	-	118	624	35	35	35	1.00000	1.00000	Non-essential
BW25113_2744	umpG	survival protein	156	759	32	32	32	1.00000	1.00000	Non-essential
BW25113_2745	truD	putative hydrogenase subunit	186	1047	36	36	36	1.00000	1.00000	Non-essential
BW25113_2746	ispF	-	6	477	200	200	200	0.00000	0.00000	Essential
BW25113_2747	ispD	-	13	708	276	276	276	0.00000	0.00000	Essential
BW25113_2748	ftsB	-	11	309	236	236	236	0.00000	0.00000	Essential
BW25113_2749	ygbE	putative cytochrome oxidase subunit	97	321	13	13	13	1.00000	1.00000	Non-essential
BW25113_2750	cysC	-	115	603	28	28	28	1.00000	1.00000	Non-essential
BW25113_2751	cysN	ATP-sulfurylase (ATP:sulfate adenylyltransferase)%2C subunit 1%2C probably a GTPase	251	1425	70	70	70	0.04897	0.39025	Non-essential
BW25113_2752	cysD	ATP:sulfurylase (ATP:sulfate adenylyltransferase)%2C subunit 2	217	906	31	31	31	1.00000	1.00000	Non-essential
BW25113_2753	iap	-	359	1035	24	24	24	1.00000	1.00000	Non-essential
BW25113_2754	ygbF	-	69	282	32	32	32	1.00000	1.00000	Non-essential
BW25113_2755	ygbT	-	207	915	35	35	35	1.00000	1.00000	Non-essential
BW25113_2756	casE	-	247	597	12	12	12	1.00000	1.00000	Non-essential
BW25113_2757	casD	-	269	672	20	20	20	1.00000	1.00000	Non-essential
BW25113_2758	casC	-	321	1089	38	38	38	1.00000	1.00000	Non-essential
BW25113_2759	casB	-	200	480	16	16	16	1.00000	1.00000	Non-essential
BW25113_2760	casA	-	712	1506	29	29	29	1.00000	1.00000	Non-essential
BW25113_2761	ygcB	-	1119	2664	37	37	37	1.00000	1.00000	Non-essential
BW25113_2762	cysH	-	219	732	36	36	36	1.00000	1.00000	Non-essential
BW25113_2763	cysI	sulfite reductase%2C alpha subunit	269	1710	33	33	33	1.00000	1.00000	Non-essential
BW25113_2764	cysJ	sulfite reductase (NADPH)%2C flavoprotein beta subunit	320	1797	40	40	40	1.00000	1.00000	Non-essential
BW25113_2765	queD	putative 6-pyruvoyl tetrahydrobiopterin synthase	65	363	38	38	38	1.00000	1.00000	Non-essential
BW25113_2766	ygcN	-	278	1269	44	44	44	1.00000	1.00000	Non-essential
BW25113_2767	ygcO	-	73	258	12	12	12	1.00000	1.00000	Non-essential
BW25113_2768	ygcP	putative anti-terminator regulatory protein	153	573	26	26	26	1.00000	1.00000	Non-essential
BW25113_2769	ygcQ	-	173	858	24	24	24	1.00000	1.00000	Non-essential
BW25113_2770	ygcR	putative transport protein	148	777	42	42	42	1.00000	1.00000	Non-essential
BW25113_2771	ygcS	putative transport protein	253	1335	33	33	33	1.00000	1.00000	Non-essential
BW25113_2774	ygcW	putative oxidoreductase	269	783	41	41	41	1.00000	1.00000	Non-essential
BW25113_2775	yqcE	putative transport protein	325	1275	32	32	32	1.00000	1.00000	Non-essential
BW25113_2776	ygcE	-	345	1476	57	57	57	0.67893	1.00000	Non-essential
BW25113_2777	queE	-	288	669	12	12	12	1.00000	1.00000	Non-essential
BW25113_2778	ygcG	-	260	870	30	30	30	1.00000	1.00000	Non-essential
BW25113_2779	eno	-	20	1296	219	219	219	0.00000	0.00000	Essential
BW25113_2780	pyrG	-	14	1635	369	369	369	0.00000	0.00000	Essential
BW25113_2781	mazG	-	141	789	59	59	59	0.50495	1.00000	Non-essential
BW25113_2782	mazF	probable growth inhibitor%2C PemK-like%2C autoregulated	69	333	31	31	31	1.00000	1.00000	Non-essential
BW25113_2783	mazE	suppressor of inhibitory function of ChpA%2C PemI-like%2C autoregulated	52	246	23	23	23	1.00000	1.00000	Non-essential
BW25113_2784	relA	(p)ppGpp synthetase I (GTP pyrophosphokinase)%3B regulation of RNA synthesis%3B stringent factor	474	2232	47	47	47	1.00000	1.00000	Non-essential
BW25113_2785	rlmD	-	285	1299	27	27	27	1.00000	1.00000	Non-essential
BW25113_2786	barA	sensor-regulator%2C activates OmpR by phophorylation	1027	2754	26	26	26	1.00000	1.00000	Non-essential
BW25113_2787	gudD	(D)-glucarate dehydratase 1%3B (L)-idarate dehydratase%3B (L)-idarate epimerase%3B (D)-glucarate epimerase	264	1338	37	37	37	1.00000	1.00000	Non-essential
BW25113_2788	gudX	putative (D)-glucarate dehydratase 2	284	1338	38	38	38	1.00000	1.00000	Non-essential
BW25113_2789	gudP	putative D-glucarate permease (MFS family)	288	1350	34	34	34	1.00000	1.00000	Non-essential
BW25113_2790	yqcA	-	83	447	30	30	43	1.00000	1.00000	Non-essential
BW25113_2791	truC	-	166	780	31	31	31	1.00000	1.00000	Non-essential
BW25113_2792	yqcC	-	70	327	37	37	37	1.00000	1.00000	Non-essential
BW25113_2793	syd	interacts with secY	114	543	33	33	33	1.00000	1.00000	Non-essential
BW25113_2794	queF	-	186	846	40	40	40	1.00000	1.00000	Non-essential
BW25113_2795	ygdH	-	309	1362	29	29	29	1.00000	1.00000	Non-essential
BW25113_2796	sdaC	probable serine transporter	328	1287	21	21	21	1.00000	1.00000	Non-essential
BW25113_2797	sdaB	L-serine dehydratase (deaminase)%2C L-SD2	306	1365	27	27	27	1.00000	1.00000	Non-essential
BW25113_2798	ygdG	5'-3' exonuclease	118	753	47	47	47	1.00000	1.00000	Non-essential
BW25113_2799	fucO	-	273	1146	37	37	37	1.00000	1.00000	Non-essential
